,No. of Mths  Year Ending,variable,value,name
98,Tax,12  Mar-17*,5203.0,SUNTV
99,Profit after tax,12  Mar-17*,10307.0,SUNTV
100,Gross profit margin,12  Mar-17*,66.9,SUNTV
101,Effective tax rate,12  Mar-17*,34.2,SUNTV
102,Net profit margin,12  Mar-17*,39.0,SUNTV
103,Current assets,12  Mar-17*,22629.0,SUNTV
104,Current liabilities,12  Mar-17*,2806.0,SUNTV
105,Net working cap to sales,12  Mar-17*,74.9,SUNTV
106,Current ratio,12  Mar-17*,8.1,SUNTV
107,Inventory Days,12  Mar-17*,0.0,SUNTV
108,Debtors Days,12  Mar-17*,107.0,SUNTV
109,Net fixed assets,12  Mar-17*,12262.0,SUNTV
110,Share capital,12  Mar-17*,1970.0,SUNTV
111,"""Free"" reserves",12  Mar-17*,38314.0,SUNTV
112,Net worth,12  Mar-17*,40285.0,SUNTV
113,Long term debt,12  Mar-17*,0.0,SUNTV
114,Total assets,12  Mar-17*,43817.0,SUNTV
115,Interest coverage,12  Mar-17*,1478.8,SUNTV
116,Debt to equity ratio,12  Mar-17*,0.0,SUNTV
117,Sales to assets ratio,12  Mar-17*,0.6,SUNTV
118,Return on assets,12  Mar-17*,23.5,SUNTV
119,Return on equity,12  Mar-17*,25.6,SUNTV
120,Return on capital,12  Mar-17*,38.5,SUNTV
121,Exports to sales,12  Mar-17*,0.0,SUNTV
122,Imports to sales,12  Mar-17*,0.0,SUNTV
123,Exports (fob),12  Mar-17*,0.0,SUNTV
124,Imports (cif),12  Mar-17*,0.0,SUNTV
125,Fx inflow,12  Mar-17*,1583.0,SUNTV
126,Fx outflow,12  Mar-17*,3703.0,SUNTV
127,Net fx,12  Mar-17*,-2121.0,SUNTV
128,From Operations,12  Mar-17*,12955.0,SUNTV
129,From Investments,12  Mar-17*,-7165.0,SUNTV
130,From Financial Activity,12  Mar-17*,-4753.0,SUNTV
131,Net Cashflow,12  Mar-17*,1038.0,SUNTV
132,Net Sales,12  Mar-18*,29630.0,SUNTV
133,Other income,12  Mar-18*,1423.0,SUNTV
134,Total revenues,12  Mar-18*,31053.0,SUNTV
