,percent_monthly_change,percent_yearly_change,percent_change_week,52weekHigh,52weekLow,percent_ADR/GDR,percent_div_yeild,eps_ttm,FIIs,FV,percent_foreign_collaborators,percent_freefloat,percent_indian_promoters,percent_indian_inst_mutual_funds,market_cap,num_of_shares,P/CF,P/E,percent_pledged_promoter_holding,price,sector,shareholders,volume,incorporate_year,cluster
BOB,0.013000000000000001,-0.48200000000000004,0.067,108.3,36.1,0.0,0.0,2.4,0.156,2.0,0.0,0.115,0.563,0.166,113480000000.0,2304160000.0,0.8,20.8,0.0,49.3,4.0,180376.0,445300.0,1908.0,6
BOC,0.18600000000000003,0.588,0.066,801.0,378.0,0.0,0.1,60.1,0.083,10.0,0.75,0.083,0.0,0.084,95070000000.0,121480000.0,42.3,13.0,0.0,782.6,23.0,19183.0,400.0,1935.0,5
BODAL,-0.023,0.062,0.008,88.5,34.5,0.0,1.1,7.3,0.0,0.0,0.0,0.0,0.0,0.0,8957000000.0,122190000.0,5.5,10.1,0.0,73.3,1.0,0.0,1300.0,0.0,14
BOI,0.02,-0.27699999999999997,0.033,79.8,30.5,0.0,0.0,13.5,0.102,10.0,0.0,0.077,0.667,0.155,31085000000.0,642260000.0,0.3,3.6,0.0,48.4,4.0,240000.0,11800.0,1906.0,5
BPCL,-0.083,0.226,0.008,549.7,252.0,0.0,4.2,12.4,0.122,10.0,0.0,0.16899999999999998,0.5489999999999999,0.159,891293000000.0,2167810000.0,8.1,33.2,0.0,411.2,17.0,87110.0,14800.0,1952.0,3
BPRD,0.16699999999999998,0.006,0.057999999999999996,120.9,55.0,0.0,7.9,8.6,0.037000000000000005,2.0,0.376,0.25,0.303,0.034,7216000000.0,74390000.0,6.4,11.2,0.0,97.0,6.0,12092.0,400.0,1962.0,14
BR3M,-0.027000000000000003,0.016,-0.001,25208.7,15685.6,0.0,0.0,286.0,0.09300000000000001,10.0,0.75,0.11900000000000001,0.0,0.038,235635000000.0,11270000.0,60.9,73.1,0.0,20917.4,15.0,9225.0,300.0,1987.0,13
BRFL,0.638,1.268,0.32899999999999996,11.7,2.8,0.245,0.0,-161.1,0.11800000000000001,10.0,0.0,0.278,0.342,0.018000000000000002,1642000000.0,134600000.0,-1.3,-0.1,0.28,12.2,47.0,8624.0,15100.0,1986.0,14
BRGD,0.195,-0.07200000000000001,0.107,255.0,90.7,0.0,1.2,8.3,0.046,10.0,0.0,0.349,0.575,0.03,22844000000.0,136180000.0,5.4,20.3,0.0,167.8,12.0,66193.0,4200.0,1995.0,14
BRGR,0.096,0.575,0.062,597.5,356.7,0.0,0.3,6.8,0.11900000000000001,1.0,0.145,0.105,0.605,0.026000000000000002,558337000000.0,971020000.0,87.8,84.0,0.0,575.0,32.0,34402.0,5600.0,1923.0,2
BRIT,0.025,0.546,0.011000000000000001,4015.0,2100.6,0.0,0.9,70.2,0.205,2.0,0.508,0.203,0.0,0.085,940316000000.0,240320000.0,58.9,55.7,0.0,3912.8,5.0,45387.0,1700.0,1918.0,3
BSEL,-0.008,0.242,-0.017,1.6,0.7,0.022000000000000002,0.0,-2.9,0.0,10.0,0.0,0.763,0.215,0.0,97000000.0,82620000.0,-0.5,-0.4,0.0,1.2,12.0,49416.0,4600.0,1995.0,14
BSES,-0.073,-0.302,-0.043,49.4,8.7,0.017,31.3,-20.0,0.196,10.0,0.0,0.124,0.485,0.17800000000000002,7982000000.0,267420000.00000003,0.3,-1.5,0.27,29.9,38.0,1171518.0,3400.0,1929.0,14
BSTAR,0.203,-0.184,0.076,887.0,425.0,0.0,1.8,5.0,0.068,2.0,0.006,0.345,0.391,0.191,53271000000.0,89940000.0,18.8,118.5,0.017,592.3,6.0,22490.0,3200.0,1949.0,5
BTBL,0.21600000000000003,-0.001,0.142,12.5,4.6,0.0,0.0,-2.6,0.0,5.0,0.0,0.183,0.8170000000000001,0.0,286000000.0,28680000.0,1.7,-3.8,0.0,10.0,6.0,10818.0,22000.0,1941.0,14
BTVL,-0.052000000000000005,0.47100000000000003,0.018000000000000002,611.7,325.6,0.0,2.1,-57.4,0.177,5.0,0.217,0.09699999999999999,0.43700000000000006,0.07200000000000001,2894991000000.0,5455560000.0,112.1,-9.2,0.0,530.7,45.0,260508.0,117100.0,1995.0,9
BYNG,-0.006,-0.15,0.0,29.0,10.8,0.0,0.0,0.8,0.0,2.0,0.0,0.23399999999999999,0.7390000000000001,0.026000000000000002,1267000000.0,74500000.0,7.7,21.9,0.0,17.0,6.0,11631.0,2100.0,1985.0,14
CADIL,0.094,0.813,-0.0,411.6,212.7,0.0,0.9,13.0,0.059000000000000004,5.0,0.0,0.11,0.748,0.083,406783000000.0,1023740000.0,16.6,30.6,0.0,397.4,35.0,44069.0,11300.0,1995.0,10
CAKIL,-0.075,-0.71,0.021,5.1,0.5,0.002,70.0,101.0,0.33899999999999997,5.0,0.16,0.125,0.32,0.054000000000000006,252000000.0,169310000.0,0.1,0.0,0.439,1.5,30.0,28340.0,11100.0,1939.0,14
CARE,-0.062,-0.22399999999999998,0.025,726.6,236.5,0.0,7.4,28.8,0.257,10.0,0.0,0.24600000000000002,0.0,0.49700000000000005,11883000000.0,28990000.0,8.4,14.2,0.0,409.9,39.0,40414.0,200.0,1993.0,14
CAST,0.086,0.023,0.02,162.1,89.7,0.0,4.0,7.8,0.066,5.0,0.71,0.15,0.0,0.07400000000000001,123294000000.0,989120000.0,16.1,16.1,0.0,124.7,17.0,92373.0,7000.0,1979.0,6
CCOFF,0.414,0.669,0.121,119.8,47.1,0.0,0.1,7.5,0.0,1.0,0.0,0.376,0.575,0.05,21949000000.0,186800000.0,13.4,15.6,0.289,117.5,5.0,46572.0,1600.0,1943.0,14
CCON,0.152,-0.493,0.13699999999999998,5.5,1.9,0.0,0.0,-26.4,0.033,10.0,0.0,0.306,0.562,0.099,67000000.0,25450000.0,-0.0,-0.1,0.862,2.7,12.0,22732.0,17800.0,1996.0,14
CCORP,-0.128,-0.20199999999999999,0.013000000000000001,665.1,263.2,0.0,10.9,3.4,0.265,10.0,0.0,0.053,0.618,0.064,238051000000.0,609290000.0,14.2,113.6,0.0,390.7,26.0,18077.0,2100.0,1988.0,13
CEAT,0.045,-0.011000000000000001,0.023,1101.0,601.5,0.0,1.4,52.6,0.11800000000000001,10.0,0.05,0.249,0.522,0.063,35924000000.0,40450000.0,8.5,16.9,0.0,888.1,48.0,54444.0,1100.0,1958.0,5
CEMCO,0.106,0.036000000000000004,0.037000000000000005,4753.4,2913.2,0.018000000000000002,0.3,194.1,0.204,10.0,0.0,0.10800000000000001,0.617,0.052000000000000005,1148364000000.0,274400000.0,13.5,21.6,0.0,4185.0,7.0,293227.0,100.0,2000.0,1
CENKA,0.033,0.049,0.133,218.5,100.0,0.0,3.8,43.7,0.012,10.0,0.0,0.594,0.314,0.08,4064000000.0,21850000.0,3.3,4.3,0.196,186.0,15.0,47623.0,1100.0,1965.0,14
CENT,0.11800000000000001,-0.602,0.073,986.5,220.1,0.003,2.2,41.7,0.1,10.0,0.0,0.349,0.402,0.146,37463000000.0,111700000.0,5.4,8.0,0.07400000000000001,335.4,15.0,73480.0,5200.0,1897.0,5
CESC,0.086,-0.18600000000000003,0.054000000000000006,854.9,366.2,0.0,1.9,69.3,0.22899999999999998,10.0,0.0,0.084,0.525,0.162,82983000000.0,132560000.0,5.2,9.0,0.0,626.0,38.0,33867.0,1600.0,1978.0,5
CFRT,0.0,1.147,0.099,829.9,355.0,0.0,0.8,36.5,0.07,1.0,0.0,0.24,0.632,0.057999999999999996,233000000000.0,291250000.0,28.0,21.9,0.0,800.0,19.0,46421.0,1300.0,1961.0,13
CHCM,0.359,0.652,0.04,11.9,2.4,0.0,0.4,0.1,0.002,2.0,0.0,0.5529999999999999,0.446,0.0,1094000000.0,95960000.0,47.4,77.5,0.023,11.4,30.0,1958.0,100.0,1991.0,14
CHIF,0.12300000000000001,-0.128,0.124,348.9,117.4,0.0,3.0,84.8,0.313,10.0,0.0,0.087,0.5770000000000001,0.023,34282000000.0,143620000.0,2.7,2.8,0.0,238.7,30.0,16861.0,40200.0,1978.0,5
CHINI,0.271,0.304,0.091,195.0,68.8,0.0,1.4,19.6,0.18600000000000003,1.0,0.0,0.24600000000000002,0.408,0.16,41632000000.0,259630000.0,6.3,8.2,0.0,160.4,44.0,98681.0,29000.0,1975.0,5
CHMBF,0.009000000000000001,0.061,0.037000000000000005,186.0,95.3,0.0,1.2,29.4,0.062,10.0,0.0,0.23600000000000002,0.568,0.135,65948000000.0,416210000.0,9.0,5.4,0.08900000000000001,158.5,19.0,157860.0,10300.0,1979.0,5
CIPL,0.135,0.623,-0.021,814.5,356.8,0.011000000000000001,0.4,20.4,0.237,2.0,0.20800000000000002,0.262,0.16,0.122,608628000000.0,806080000.0,21.5,36.9,0.0,755.1,35.0,161166.0,16600.0,1935.0,2
CNEV,0.10300000000000001,-0.33899999999999997,0.065,383.9,103.0,0.0,28.8,2.7,0.154,2.0,0.049,0.16399999999999998,0.583,0.05,37298000000.0,195380000.0,1.1,71.7,0.0,190.9,6.0,107677.0,6700.0,1963.0,5
CNMX,0.23399999999999999,-0.237,0.065,46.0,16.3,0.0,0.0,2.3,0.0,10.0,0.0,0.307,0.693,0.0,805000000.0,28000000.0,6.0,12.7,0.603,28.8,27.0,22687.0,14500.0,2002.0,14
CNPLY,0.201,0.128,0.136,181.6,95.0,0.0,0.7,9.1,0.059000000000000004,1.0,0.0,0.177,0.745,0.02,33777000000.0,222220000.0,16.2,16.7,0.085,152.0,30.0,12161.0,6100.0,1986.0,5
CNPR,0.114,-0.033,0.145,317.8,150.9,0.0,2.8,17.0,0.076,10.0,0.0,0.35100000000000003,0.5579999999999999,0.015,3824000000.0,15670000.0,10.2,14.4,0.0,244.0,31.0,8255.0,0.0,0.0,14
CNRA,0.039,-0.53,0.052000000000000005,234.3,73.9,0.0,0.0,-45.4,0.09,10.0,0.0,0.08900000000000001,0.677,0.131,50038000000.0,475190000.0,0.4,-2.3,0.0,105.3,4.0,145041.0,32500.0,1906.0,5
COIND,0.064,-0.258,0.03,217.9,119.3,0.0,9.1,26.4,0.055,10.0,0.0,0.02,0.897,0.027999999999999997,884291000000.0,6316360000.0,4.2,5.3,0.0,140.0,29.0,596244.0,13200.0,1973.0,3
COLG,0.027999999999999997,0.183,0.0,1641.0,1065.2,0.0,1.6,30.0,0.2,1.0,0.51,0.221,0.0,0.07,386761000000.0,271980000.0,41.4,47.4,0.0,1422.0,14.0,131569.0,400.0,1937.0,10
COLR,0.067,0.379,0.048,608.0,192.0,0.0,2.1,10.6,0.027000000000000003,10.0,0.634,0.275,0.0,0.064,10849000000.0,26660000.0,19.4,38.3,0.0,407.0,9.0,32880.0,900.0,1956.0,14
CPIL,0.126,1.204,0.126,202.0,63.3,0.0,0.0,15.9,0.036000000000000004,10.0,0.0,0.28300000000000003,0.605,0.077,2729000000.0,18130000.0,10.2,9.4,0.0,150.5,42.0,12085.0,0.0,2000.0,14
CPL,-0.14800000000000002,0.426,-0.021,44.2,20.6,0.0,0.0,2.5,0.0,2.0,0.0,0.255,0.745,0.255,1788000000.0,50380000.0,23.9,14.2,0.0,35.5,25.0,1972.0,4500.0,0.0,14
CPMS,-0.018000000000000002,-0.027999999999999997,0.024,152.0,62.2,0.0,3.6,21.4,0.001,10.0,0.0,0.35200000000000004,0.5379999999999999,0.11,17485000000.0,178240000.0,3.2,4.6,0.0,98.1,33.0,19021.0,7600.0,1960.0,14
CRBM,0.151,0.017,0.11599999999999999,361.4,175.0,0.0,1.0,13.7,0.225,1.0,0.0,0.235,0.42200000000000004,0.11800000000000001,52897000000.0,188180000.0,15.7,20.6,0.018000000000000002,281.1,6.0,15711.0,800.0,1954.0,5
CRGR,1.311,1.158,0.336,17.8,4.7,0.0,0.0,-0.5,0.2,2.0,0.018000000000000002,0.151,0.408,0.222,41343000000.0,2214400000.0,-17.1,-39.8,0.6609999999999999,18.7,6.0,117401.0,211600.0,1947.0,5
CRISIL,0.08800000000000001,0.45799999999999996,0.094,2070.0,1083.5,0.0,1.6,49.2,0.08,1.0,0.677,0.139,0.0,0.10400000000000001,136061000000.0,72300000.0,33.5,38.3,0.0,1881.9,39.0,13041.0,300.0,1987.0,6
CRNU,0.047,0.028999999999999998,0.048,1858.9,1070.0,0.0,0.4,38.5,0.079,10.0,0.0,0.11699999999999999,0.725,0.079,67057000000.0,39100000.0,36.5,44.5,0.0,1715.0,5.0,37518.0,0.0,1994.0,5
CSFL,0.07400000000000001,1.124,0.001,491.0,187.2,0.0,2.2,50.1,0.001,10.0,0.0,0.5479999999999999,0.435,0.016,8640000000.0,19440000.0,6.7,8.9,0.0,444.5,31.0,24783.0,1300.0,1976.0,14
CTUN,0.04,-0.31,0.059000000000000004,249.0,110.1,0.0,0.5,8.0,0.33399999999999996,1.0,0.0,0.56,0.0,0.102,78240000000.0,596570000.0,5.0,16.4,0.0,131.2,4.0,82699.0,6500.0,1904.0,5
CUMM,0.188,-0.177,0.027999999999999997,652.8,281.6,0.0,3.6,22.7,0.18,2.0,0.51,0.129,0.0,0.18100000000000002,130062000000.0,277200000.0,17.1,20.7,0.0,469.2,6.0,41179.0,4100.0,1962.0,6
DABR,0.044000000000000004,0.129,-0.006999999999999999,528.0,385.1,0.0,0.6,8.1,0.192,1.0,0.0,0.065,0.6859999999999999,0.055999999999999994,864291000000.0,1756510000.0,53.2,60.6,0.0,492.1,5.0,123555.0,8500.0,1975.0,3
DBCL,0.027000000000000003,-0.43200000000000005,0.0,162.4,59.0,0.0,12.0,15.0,0.185,10.0,0.0,0.035,0.7,0.08,14543000000.0,183630000.0,3.9,5.3,0.309,79.2,27.0,10790.0,1000.0,1995.0,14
DBRL,0.006999999999999999,0.14400000000000002,0.033,12.5,3.6,0.0,0.0,-14.6,0.0,10.0,0.0,0.26,0.74,0.0,1815000000.0,243260000.0,-0.6,-0.5,0.858,7.5,12.0,5423.0,1700.0,2007.0,14
DCBL,0.096,-0.561,0.107,218.5,58.1,0.0,1.2,11.9,0.15,10.0,0.155,0.455,0.009000000000000001,0.23199999999999998,24813000000.0,281490000.0,2.1,7.4,0.0,88.2,4.0,184073.0,23000.0,1995.0,14
DCMC,0.115,-0.03,0.06,451.6,175.8,0.0,2.4,34.3,0.017,2.0,0.0,0.237,0.639,0.107,62743000000.0,165900000.0,5.9,11.0,0.0,378.2,15.0,43249.0,2600.0,1889.0,5
DEEP,0.09,-0.153,0.182,130.0,42.8,0.0,1.8,18.5,-0.025,10.0,0.0,0.365,0.635,0.0,2661000000.0,32000000.0,2.6,4.5,0.0,83.2,17.0,20196.0,23400.0,1991.0,14
DEFR,0.415,1.291,0.191,183.6,57.0,0.0,1.6,22.6,0.14300000000000002,10.0,0.0,0.373,0.455,0.028999999999999998,16679000000.0,88200000.0,6.7,8.4,0.0,189.1,19.0,110038.0,115200.0,1979.0,14
DEN,-0.158,-0.098,0.006,115.1,25.9,0.0,0.0,5.9,0.209,10.0,0.0,0.377,0.401,0.013000000000000001,14586000000.0,178200000.0,-27.2,13.8,0.0,81.9,27.0,9090.0,400.0,2007.0,14
DENT,0.386,1.954,0.355,779.9,267.6,0.0,0.2,36.7,0.005,10.0,0.0,0.7909999999999999,0.087,0.11699999999999999,112190000000.0,136390000.0,44.6,22.4,0.0,822.6,9.0,11411.0,115600.0,1970.0,6
DGCR,0.161,0.053,0.20800000000000002,412.0,121.8,0.0,0.6,43.2,0.006,10.0,0.0,0.11,0.7859999999999999,0.098,9017000000.0,28000000.0,6.9,7.5,0.0,322.1,41.0,49127.0,800.0,1975.0,14
DHBN,-0.018000000000000002,-0.069,0.017,18.3,7.4,0.0,0.0,3.7,0.22699999999999998,10.0,0.0,0.768,0.0,0.005,2259000000.0,177440000.0,0.8,3.4,0.0,12.7,4.0,81558.0,70900.0,1927.0,14
DHPH,-0.024,0.9640000000000001,0.035,346.3,127.6,0.0,0.3,12.0,0.127,2.0,0.0,0.221,0.614,0.037000000000000005,48588000000.0,161390000.0,17.3,25.1,0.358,301.1,35.0,46261.0,460500.0,1983.0,5
DISH,0.22899999999999998,-0.645,0.136,26.5,3.9,0.08,9.3,-14.6,0.13,1.0,0.034,0.111,0.602,0.044000000000000004,9912000000.0,1065829999.9999999,3.6,-0.6,0.478,9.3,27.0,163803.0,46900.0,2006.0,14
DIVI,0.37799999999999995,0.997,0.034,3333.6,1565.0,0.0,0.5,60.3,0.19,2.0,0.0,0.172,0.52,0.11800000000000001,859001000000.0,265470000.00000003,56.5,53.6,0.0,3235.8,35.0,31796.0,2800.0,1990.0,3
DLCN,0.259,1.0190000000000001,0.08800000000000001,156.0,40.3,0.0,1.1,22.0,0.003,2.0,0.0,0.196,0.7490000000000001,0.053,11915000000.0,81190000.0,5.3,6.7,0.0,146.8,44.0,13668.0,3500.0,1951.0,14
DLFL,0.158,0.006999999999999999,0.09300000000000001,266.7,114.5,0.0,1.3,-10.1,0.19899999999999998,2.0,0.0,0.047,0.7490000000000001,0.005,286534000000.0,1781930000.0,5.9,-15.9,0.0,160.8,12.0,432951.0,50100.0,1963.0,13
DLIK,0.071,-0.07200000000000001,0.04,100.9,50.0,0.0,0.0,-1.1,0.0,2.0,0.0,0.255,0.745,0.0,1654000000.0,22550000.0,-113.3,-68.0,0.0,73.4,11.0,13671.0,7400.0,1993.0,14
DWHF,0.046,-0.669,0.078,53.0,8.4,0.0,39.1,-35.5,0.259,10.0,0.0,0.368,0.35,0.024,4408000000.0,291710000.0,0.2,-0.4,0.0,15.1,24.0,43135.0,8400.0,1984.0,14
EASUN,0.263,-0.006,-0.027000000000000003,4.9,1.6,0.0,0.0,-5.6,0.061,2.0,0.002,0.408,0.358,0.17,111000000.0,30790000.0,9.1,-0.6,0.0,3.6,6.0,14241.0,400.0,1980.0,14
ECHM,0.071,0.43200000000000005,0.055,2389.0,1246.0,0.0,0.6,65.9,0.2,10.0,0.0,0.198,0.551,0.051,608371000000.0,273060000.0,27.9,33.8,0.0,2228.0,3.0,26054.0,30300.0,1982.0,2
ECXS,0.665,0.752,0.109,808.5,323.2,0.0,0.1,51.7,0.214,10.0,0.265,0.107,0.266,0.14800000000000002,32078000000.0,40400000.0,9.5,15.4,0.0,794.0,42.0,15040.0,6200.0,2000.0,5
EDMR,-0.10400000000000001,-0.258,-0.042,1.2,0.4,0.0,0.0,-1.6,0.001,2.0,0.0,0.787,0.064,0.14800000000000002,81000000.0,117770000.0,-0.1,-0.4,0.133,0.7,42.0,3781.0,23700.0,1987.0,14
EDUCO,0.397,2.378,0.182,6.3,0.8,0.0,0.0,-31.6,0.175,2.0,0.0,0.374,0.44799999999999995,0.003,525000000.0,122440000.0,-0.1,-0.1,0.867,4.3,42.0,133770.0,700.0,1994.0,14
EDWS,0.012,-0.247,0.10099999999999999,134.3,29.9,0.0,1.9,8.9,0.21100000000000002,1.0,0.001,0.415,0.373,0.0,65517000000.0,791750000.0,5.6,9.3,0.522,82.8,30.0,134647.0,14600.0,1995.0,5
EID,0.039,0.997,0.095,315.0,100.0,0.0,1.0,49.9,0.13,1.0,0.0,0.292,0.452,0.126,53327000000.0,178500000.0,7.5,6.0,0.003,298.8,15.0,42124.0,1800.0,1975.0,5
EIH,0.515,-0.42200000000000004,0.171,188.0,54.7,0.001,1.0,2.2,0.012,2.0,0.0,0.513,0.35200000000000004,0.12300000000000001,52813000000.0,571570000.0,20.0,42.4,0.0,92.4,22.0,83389.0,19200.0,1949.0,5
EIML,0.36700000000000005,1.173,0.079,30.4,7.2,0.0,0.0,12.9,0.182,10.0,0.509,0.063,0.235,0.012,2410000000.0,92500000.0,0.9,2.0,0.0,26.1,27.0,23833.0,3500.0,1994.0,14
EKCL,0.38799999999999996,0.695,0.26899999999999996,35.0,9.5,0.0,0.0,0.9,0.039,2.0,0.015,0.326,0.62,0.0,3333000000.0,107160000.0,5.6,36.3,0.469,31.1,6.0,47642.0,17400.0,1978.0,14
ELEG,0.282,0.14300000000000002,0.145,43.7,13.8,0.0,0.6,8.1,0.003,2.0,0.0,0.33899999999999997,0.581,0.077,3492000000.0,108940000.0,3.1,4.0,0.1,32.1,6.0,52128.0,400.0,1960.0,14
ELEQ,0.353,-0.068,-0.055999999999999994,309.6,102.3,0.0,0.6,2.6,0.14,1.0,0.0,0.42700000000000005,0.319,0.115,35960000000.0,158450000.0,23.7,87.0,0.0,227.0,6.0,20376.0,200.0,1966.0,5
ELETST,0.105,0.17300000000000001,0.076,19.0,7.6,0.006,0.0,2.8,0.021,1.0,0.0,0.363,0.53,0.08,5940000000.0,356960000.0,11.7,6.0,0.17300000000000001,16.6,43.0,64600.0,2800.0,1955.0,14
EMCO,0.36200000000000004,0.24600000000000002,0.264,2.6,0.4,0.0,0.0,-52.1,0.002,2.0,0.0,0.5,0.434,0.064,115000000.0,65140000.0,-0.1,-0.0,0.753,1.8,6.0,25276.0,15900.0,1964.0,14
EMEL,0.073,0.261,0.037000000000000005,385.0,180.0,0.0,2.1,28.0,0.0,10.0,0.251,0.21100000000000002,0.49,0.048,1949000000.0,5770000.0,6.9,12.1,0.111,337.9,6.0,5516.0,300.0,1974.0,14
EMER,0.187,0.13699999999999998,0.02,4988.0,2927.8,0.0,9.2,99.1,0.01,10.0,0.518,0.29100000000000004,0.0,0.182,79331000000.0,16600000.000000002,64.6,48.2,0.0,4779.0,35.0,28591.0,0.0,1967.0,5
ENGS,0.032,-0.306,0.051,123.0,49.9,0.0,5.2,6.4,0.09,5.0,0.0,0.099,0.6940000000000001,0.11699999999999999,48455000000.0,673920000.0,12.3,11.3,0.0,71.9,12.0,136269.0,7700.0,1965.0,5
ENIL,0.295,-0.5479999999999999,0.079,375.0,101.0,0.0,0.6,2.2,0.16399999999999998,10.0,0.0,0.105,0.7120000000000001,0.02,7966000000.0,47670000.0,6.6,74.4,0.0,167.1,27.0,13673.0,600.0,1999.0,14
ESBI,0.11900000000000001,0.47700000000000004,0.129,1727.0,870.0,0.0,6.0,46.4,0.111,10.0,0.737,0.151,0.0,0.001,23201000000.0,15390000.0,34.0,32.5,0.0,1507.3,6.0,11258.0,0.0,1987.0,14
ESCR,0.01,1.399,-0.012,1210.7,450.1,0.0,0.2,39.4,0.052000000000000005,10.0,0.0,0.488,0.42,0.04,139655000000.0,122580000.0,24.7,28.9,0.0,1139.3,3.0,95224.0,3500.0,1944.0,6
ESILK,0.243,0.0,0.094,1.3,0.5,0.0,0.0,-1.6,0.0,2.0,0.0,0.433,0.513,0.055,101000000.0,78950000.0,0.3,-0.8,1.0,1.3,47.0,21576.0,4700.0,1959.0,14
ESPK,0.49700000000000005,2.226,0.064,318.8,85.3,0.0,0.4,6.9,0.061,2.0,0.0,0.297,0.5660000000000001,0.076,91479000000.0,314360000.0,24.3,42.0,0.023,291.0,31.0,35452.0,500.0,1982.0,5
ETEV,0.16399999999999998,-0.257,0.081,370.0,120.0,0.0,3.2,9.2,0.0,10.0,0.0,0.419,0.495,0.085,3714000000.0,15290000.0,4.5,26.5,0.0,242.9,7.0,12595.0,100.0,1934.0,14
EVER,0.16699999999999998,0.799,-0.019,157.6,34.4,0.0,0.0,24.7,0.032,5.0,0.0,0.449,0.434,0.085,10245000000.0,72690000.0,14.7,5.7,0.10099999999999999,141.0,15.0,54604.0,4400.0,1934.0,14
EXIDE,0.099,-0.034,0.057999999999999996,208.8,121.9,0.0,1.4,7.6,0.17300000000000001,1.0,0.46,0.196,0.0,0.172,147730000000.0,850000000.0,12.4,22.9,0.0,173.8,2.0,91581.0,7500.0,1947.0,6
FAG,0.03,-0.086,0.062,4950.0,3044.1,0.0,1.5,204.5,0.043,10.0,0.513,0.261,0.0,0.183,61825000000.0,16620000.000000002,10.9,18.2,0.0,3719.9,2.0,8701.0,0.0,1962.0,5
FCHT,0.033,0.5539999999999999,0.027000000000000003,54.9,21.6,0.0,0.0,-4.2,0.0,10.0,0.0,0.009000000000000001,0.9,0.091,32677000000.0,647070000.0,-28.8,-12.0,0.0,50.5,19.0,15540.0,1700.0,1943.0,5
FDCL,0.187,1.005,-0.016,354.0,152.5,0.0,0.0,14.2,0.075,1.0,0.0,0.19,0.6890000000000001,0.047,56288000000.0,174400000.0,26.9,22.8,0.0,322.8,35.0,23730.0,700.0,1900.0,5
FED,-0.003,-0.31,0.084,98.6,35.7,0.022000000000000002,1.7,7.9,0.38799999999999996,2.0,0.0,0.33,0.0,0.255,113678000000.0,1983910000.0,3.3,7.3,0.0,57.3,4.0,82469.0,90100.0,1931.0,6
FLMT,0.361,0.41200000000000003,0.382,129.9,51.0,0.0,1.6,6.5,0.008,10.0,0.0,0.45899999999999996,0.5329999999999999,0.0,605000000.0,4920000.0,19.7,19.0,0.0,123.0,18.0,6764.0,0.0,1971.0,14
FNCB,0.128,-0.16699999999999998,0.079,433.0,165.0,0.04,1.3,26.3,0.087,2.0,0.0,0.39799999999999996,0.359,0.11699999999999999,46991000000.0,152940000.0,15.6,11.7,0.0,307.3,6.0,37614.0,1300.0,1967.0,5
FNLX,0.027999999999999997,-0.057999999999999996,0.047,635.0,283.0,0.0,2.1,24.7,0.048,10.0,0.0,0.382,0.525,0.046,58523000000.0,124100000.0,13.8,19.1,0.0,471.6,30.0,130070.0,100.0,1981.0,5
FORTIS,0.028999999999999998,0.147,0.027000000000000003,169.0,113.2,0.0,0.0,1.7,0.09,10.0,0.0,0.19399999999999998,0.713,0.003,64419000000.0,462780000.0,699.4,81.2,0.826,139.2,21.0,110110.0,1200.0,1996.0,5
FSCI,0.369,0.21,0.192,1650.0,840.0,0.0,1.7,50.0,0.0,10.0,0.75,0.25,0.0,0.0,9254000000.0,6390000.0,25.2,28.9,0.0,1448.2,9.0,6758.0,100.0,1958.0,14
FSRC,0.387,0.292,0.168,62.2,20.7,0.0,2.5,5.1,0.091,10.0,0.0,0.28,0.561,0.067,41177000000.0,666290000.0,10.5,12.1,0.0,61.8,42.0,146412.0,15800.0,2001.0,5
FUJI,0.25,-0.196,0.045,229.8,63.7,0.0,1.3,12.1,0.13,10.0,0.023,0.38799999999999996,0.45299999999999996,0.005,40603000000.0,225010000.0,13.0,14.9,0.0,180.5,42.0,25534.0,14200.0,1963.0,5
FXIN,0.321,0.705,0.066,376.8,120.0,0.076,0.6,47.1,0.06,10.0,0.0,0.428,0.435,0.001,25970000000.0,72210000.0,3.7,7.6,0.0,359.7,31.0,52553.0,200.0,1988.0,14
GABR,0.182,0.063,0.145,139.9,40.3,0.0,1.4,2.7,0.06,1.0,0.0,0.391,0.546,0.003,15003000000.0,143640000.0,11.0,38.6,0.0,104.5,2.0,42438.0,500.0,1961.0,14
GACM,0.113,0.10400000000000001,0.02,231.9,136.7,0.016,0.7,14.2,0.306,2.0,0.505,0.08,0.008,0.094,444288000000.0,1985650000.0,10.8,15.8,0.0,223.8,7.0,179823.0,4600.0,1981.0,10
GACO,0.081,0.28,0.09300000000000001,75.0,32.4,0.0,2.0,-9.6,0.081,2.0,0.0,0.536,0.381,0.002,4317000000.0,87480000.0,8.2,-5.1,0.495,49.4,26.0,41407.0,70800.0,1989.0,14
GAIL,0.025,-0.192,0.046,148.1,65.7,0.015,7.0,14.7,0.188,10.0,0.0,0.023,0.561,0.213,460485000000.0,4510140000.0,6.2,7.0,0.0,102.1,17.0,166858.0,26800.0,1984.0,10
GALK,0.077,-0.122,0.096,487.4,165.0,0.0,2.3,45.3,0.042,10.0,0.0,0.474,0.46299999999999997,0.021,25847000000.0,73440000.0,3.1,7.8,0.0,352.0,9.0,52842.0,2600.0,1973.0,14
GAPL,0.128,0.569,0.049,208.8,100.0,0.0,1.1,5.1,0.0,10.0,0.051,0.452,0.49700000000000005,0.001,3211000000.0,16579999.999999998,48.6,38.3,0.0,193.7,6.0,10334.0,1700.0,1972.0,14
