,percent_monthly_change,percent_yearly_change,percent_change_week,52weekHigh,52weekLow,percent_ADR/GDR,percent_div_yeild,eps_ttm,FIIs,FV,percent_foreign_collaborators,percent_freefloat,percent_indian_promoters,percent_indian_inst_mutual_funds,market_cap,num_of_shares,P/CF,P/E,percent_pledged_promoter_holding,price,sector,shareholders,volume,incorporate_year,cluster
ANSAL,0.14,0.20800000000000002,0.062,6.9,3.4,0.0,0.0,-1.1,0.132,5.0,0.0,0.349,0.491,0.027999999999999997,730000000.0,157400000.0,-0.6,-4.3,0.445,4.6,12.0,42908.0,33200.0,1967.0,14
ANSH,0.247,0.129,0.156,9.2,2.6,0.0,0.0,-4.3,0.0,10.0,0.0,0.425,0.575,0.0,282000000.0,59390000.0,-12.8,-1.1,0.59,4.7,12.0,22570.0,500.0,1984.0,14
APAR,0.147,-0.335,0.16,596.7,235.1,0.0,2.7,40.4,0.052000000000000005,10.0,0.0,0.265,0.625,0.057999999999999996,13635000000.0,38500000.0,6.7,8.8,0.0,354.2,6.0,27145.0,2200.0,1989.0,14
APLH,0.125,0.16399999999999998,-0.003,1814.0,1047.5,0.008,0.4,33.8,0.41600000000000004,5.0,0.0,0.193,0.344,0.04,236521000000.0,139130000.0,39.8,50.3,0.648,1700.0,21.0,33376.0,2400.0,1979.0,13
APLL,0.033,1.023,0.012,1128.0,436.1,0.0,0.5,42.7,0.091,2.0,0.0,0.139,0.741,0.028999999999999998,190961000000.0,188520000.0,27.0,23.7,0.0,1013.0,35.0,49328.0,400.0,2010.0,6
APLO,0.17600000000000002,-0.23,-0.009000000000000001,196.7,73.6,0.0,2.6,3.9,0.345,1.0,0.004,0.141,0.43,0.078,65231000000.0,509020000.0,5.0,32.6,0.092,128.2,48.0,104496.0,21600.0,1972.0,5
APMI,0.124,-0.19399999999999998,0.17600000000000002,23.8,10.7,0.0,6.2,4.2,0.0,2.0,0.0,0.384,0.616,0.0,347000000.0,21600000.0,2.0,3.9,0.051,16.1,47.0,10745.0,8000.0,1973.0,14
APSL,0.41200000000000003,-0.257,0.133,112.0,27.1,0.0,3.6,22.8,0.006999999999999999,10.0,0.188,0.6629999999999999,0.131,0.011000000000000001,1320000000.0,18220000.0,1.9,3.2,0.5660000000000001,72.5,42.0,6099.0,0.0,1997.0,14
APTE,0.18100000000000002,0.091,0.035,441.8,201.7,0.001,2.0,22.5,0.13699999999999998,2.0,0.7140000000000001,0.105,0.0,0.043,127479000000.0,301120000.0,19.7,18.8,0.0,423.4,42.0,83493.0,1200.0,1990.0,6
APTTR,0.145,0.018000000000000002,0.16399999999999998,192.8,65.6,0.0,2.2,2.8,0.083,10.0,0.0,0.5579999999999999,0.358,0.001,6357000000.0,48790000.0,14.4,47.1,0.035,130.3,42.0,97867.0,2100.0,1986.0,14
ARCHI,0.135,-0.22,0.085,25.0,8.1,0.0,0.0,-3.0,0.0,2.0,0.0,0.38799999999999996,0.606,0.006999999999999999,450000000.0,33800000.0,10.4,-4.4,0.0,13.3,14.0,15057.0,500.0,1990.0,14
ARMI,0.132,-0.281,0.035,59.0,19.0,0.002,5.7,3.7,0.228,10.0,0.0,0.19,0.43799999999999994,0.142,9050000000.0,258200000.0,1.9,9.6,0.004,35.1,47.0,187884.0,6600.0,1931.0,14
